NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE
Cerner;Health Care;Health Care Technology;CERN.N;CERN
CF Industries;Materials;Fertilizers & Agricultural Chemicals;CF.N;CF
Charles River Laboratories;Health Care;Life Sciences Tools & Services;CRL.N;CRL
Charles Schwab;Financials;Investment Banking & Brokerage;SCHW.N;SCHW
Charter Communications;Communication Services;Cable & Satellite;CHTR.N;CHTR
Chevron;Energy;Integrated Oil & Gas;CVX.N;CVX
Chipotle Mexican Grill;Consumer Discretionary;Restaurants;CMG.N;CMG
Chubb;Financials;Property & Casualty Insurance;CB.N;CB
Church & Dwight;Consumer Staples;Household Products;CHD.N;CHD
Cigna;Health Care;Managed Health Care;CI.N;CI
Cincinnati Financial;Financials;Property & Casualty Insurance;CINF.N;CINF
Cintas Corporation;Industrials;Diversified Support Services;CTAS.N;CTAS
Cisco Systems;Information Technology;Communications Equipment;CSCO.N;CSCO
Citigroup;Financials;Diversified Banks;C.N;C
Citizens Financial Group;Financials;Regional Banks;CFG.N;CFG
Citrix Systems;Information Technology;Application Software;CTXS.N;CTXS
Clorox;Consumer Staples;Household Products;CLX.N;CLX
CME Group;Financials;Financial Exchanges & Data;CME.N;CME
CMS Energy;Utilities;Multi-Utilities;CMS.N;CMS
Coca-Cola;Consumer Staples;Soft Drinks;KO.N;KO
Cognizant Technology Solutions;Information Technology;IT Consulting & Other Services;CTSH.N;CTSH
Colgate-Palmolive;Consumer Staples;Household Products;CL.N;CL
Comcast;Communication Services;Cable & Satellite;CMCSA.N;CMCSA
Comerica;Financials;Diversified Banks;CMA.N;CMA
Conagra Brands;Consumer Staples;Packaged Foods & Meats;CAG.N;CAG
ConocoPhillips;Energy;Oil & Gas Exploration & Production;COP.N;COP
Consolidated Edison;Utilities;Electric Utilities;ED.N;ED
Constellation Brands;Consumer Staples;Distillers & Vintners;STZ.N;STZ
The Cooper Companies;Health Care;Health Care Supplies;COO.N;COO
Copart;Industrials;Diversified Support Services;CPRT.N;CPRT
Corning;Information Technology;Electronic Components;GLW.N;GLW
Corteva;Materials;Fertilizers & Agricultural Chemicals;CTVA.N;CTVA
Costco;Consumer Staples;Hypermarkets & Super Centers;COST.N;COST
Coterra;Energy;Oil & Gas Exploration & Production;CTRA.N;CTRA
Crown Castle;Real Estate;Specialized REITs;CCI.N;CCI
