Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
327;FUCHS PETROLUB PREF;Chemicals;DE;0LCR.L;FPE3.DE;FPEG_P.BE
328;HOMESERVE;Insurance;GB;HSV.L;HSV.L;HSV.L
329;BIG YELLOW GROUP;Real Estate;GB;BYG.L;BYG.L;BYG.L
330;MILLICOM INTL.CELU. SDR;Telecommunications;SE;TIGOSDB.ST;TIGOSD-B.ST;TIGOSDB.ST
331;AKER BP;Energy;NO;AKER.OL;AKER.OL;AKER.OL
332;SWECO 'B';Construction and Materials;SE;SWECB.ST;SWEC-B.ST;SWECB.ST, SWECA.ST
333;GALENICA SANTE AG;Personal Care, Drug and Grocery Stores;CH;GALE.S;GALE.SW;GALE.S
334;BANKINTER;Banks;ES;BKT.MC;BKT.MC;
335;HAYS;Industrial Goods and Services;GB;HAYS.L;HAS.L;HAYS.L
336;ARCADIS;Construction and Materials;NL;ARDS.AS;ARCAD.AS;ARDS.AS
337;AUTO1 GROUP;Retail;DE;AG1G.DE;AG1.DE;
338;UNIPER;Utilities;DE;UN01.DE;UN01.DE;
339;BAKKAFROST;Food, Beverage and Tobacco;NO;BAKKA.OL;BAKKA.OL;BAKKA.OL
340;TELECOM ITALIA;Telecommunications;IT;TLIT.MI;TIT.MI;TLIT.MI, TLITN.MI
341;ANDRITZ;Industrial Goods and Services;AT;ANDR.VI;ANDR.VI;ANDR.VI
342;GRAFTON GRP;Industrial Goods and Services;GB;GFTU_U.L;GFTU.L;GFTU_U.L
343;ALSTRIA OFFICE REIT;Real Estate;DE;AOXG.DE;AOX.DE;AOXG.BE
344;MERLIN PROPERTIES SOCIMI;Real Estate;ES;MRL.MC;MRL.MC;
345;SCHIBSTED GRUPPEN;Technology;NO;SBSTA.OL;SCHA.OL;SBSTA.OL
346;DUFRY GRP;Retail;CH;DUFN.S;DUFN.SW;DUFN.S
347;VITROLIFE;Health Care;SE;VITR.ST;VITR.ST;VITR.ST
348;DINO POLSKA SA;Personal Care, Drug and Grocery Stores;PL;DNP.WA;DNP.WA;DNP.WA
349;HISCOX;Insurance;GB;HSX.L;HSX.L;HSX.L
350;ACKERMANS & VAN HAAREN;Financial Services;BE;ACKB.BR;ACKB.BR;ACKB.BR
351;ELIA GROUP;Utilities;BE;ELI.BR;ELI.BR;ELI.BR
352;NORDIC ENTERTAINMENT GROUP B;Media;SE;NENTB.ST;NENT-B.ST;
353;S4 CAP. ORD SHS;Media;GB;SFOR.L;SFOR.L;SFOR.L
354;WALLENSTAM B;Real Estate;SE;WALLB.ST;WALL-B.ST;WALLB.ST
355;HELVETIA HLDG;Insurance;CH;HELN.S;HELN.SW;HELN.S
356;VOESTALPINE;Basic Resources;AT;VOES.VI;VOE.VI;VOES.VI
357;DELIVEROO A;Technology;GB;ROO.L;ROO.L;
358;BILLERUDKORSNAS;Basic Resources;SE;BILL.ST;BILL.ST;BILL.ST
359;AAK;Food, Beverage and Tobacco;SE;AAK.ST;AAK.ST;AAK.ST
360;UNITED INTERNET;Technology;DE;UTDI.DE;UTDI.DE;UTDI.BE
361;INWIT;Telecommunications;IT;INWT.MI;INW.MI;
362;ROTORK;Industrial Goods and Services;GB;ROR.L;ROR.L;ROR.L, 76ID_P.L
363;TATE & LYLE;Food, Beverage and Tobacco;GB;TATE.L;TATE.L;TATE.L, BD15_P.L
364;GAMES WORKSHOP;Consumer Products and Services;GB;GAW.L;GAW.L;
365;ROCKWOOL B;Construction and Materials;DK;ROCKB.CO;ROCK-B.CO;ROCKB.CO, ROCKA.CO
366;SIEGFRIED 'R';Health Care;CH;SFZN.S;SFZN.SW;SFZN.S
367;GREGGS;Personal Care, Drug and Grocery Stores;GB;GRG.L;GRG.L;GRG.L
368;SALMAR;Food, Beverage and Tobacco;NO;SALM.OL;SALM.OL;SALM.OL
369;THYSSENKRUPP;Industrial Goods and Services;DE;TKAG.DE;TKA.DE;TKAG.BE
370;INCHCAPE;Industrial Goods and Services;GB;INCH.L;INCH.L;INCH.L
371;TAG IMMOBILIEN AG;Real Estate;DE;TEGG.DE;TEG.DE;TEGG.BE
372;RAIFFEISEN BANK INTERNATIONAL;Banks;AT;RBIV.VI;RBI.VI;RBIV.VI
373;CTS EVENTIM;Media;DE;EVDG.DE;EVD.DE;
374;INPOST;Industrial Goods and Services;NL;INPST.AS;INPST.AS;
375;HOLMEN B;Basic Resources;SE;HOLMB.ST;HOLM-B.ST;HOLMB.ST, HOLMA.ST
376;RHEINMETALL;Industrial Goods and Services;DE;RHMG.DE;RHM.DE;RHMG.BE
377;BAWAG GROUP AG;Banks;AT;BAWG.VI;BG.VI;BAWG.VI
378;BCO SABADELL;Banks;ES;SABE.MC;SAB.MC;
379;HUHTAMAKI;Industrial Goods and Services;FI;HUH1V.HE;HUH1V.HE;HUH1V.HE
381;PENNON GRP;Utilities;GB;PNN.L;PNN.L;PNN.L
382;MAN GRP;Financial Services;GB;EMG.L;EMG.L;
383;ELEKTA B;Health Care;SE;EKTAB.ST;EKTA-B.ST;EKTAB.ST
384;ACCIONA S.A.;Construction and Materials;ES;ANA.MC;ANA.MC;
385;COFINIMMO;Real Estate;BE;COFB.BR;COFB.BR;COFB.BR
