,as_of,ticker
3024,2014-12-05,BBY
3123,2009-08-07,DUK
3124,2009-11-06,DUK
3129,2014-02-28,DUK
3158,2009-12-18,FDX
3164,2010-03-19,FDX
3167,2018-08-02,DUK
3178,2020-05-12,DUK
3194,2009-07-23,DHR
3209,2024-08-06,DUK
3244,2025-02-27,DUK
3250,2009-08-04,MET
3251,2009-11-04,MET
3252,2011-02-25,MET
3253,2010-08-02,MET
3254,2014-08-08,MET
3262,2014-11-06,MET
3263,2015-02-27,MET
3264,2015-05-08,MET
3265,2015-08-06,MET
3266,2016-11-03,MET
3409,2011-05-05,DPZ
3410,2010-02-19,FE
3411,2011-05-03,FE
3412,2011-08-02,FE
3413,2012-08-07,FE
3428,2012-11-08,FE
3438,2014-02-27,FE
3448,2013-11-05,FE
3450,2014-05-06,FE
3451,2014-08-05,FE
3452,2016-04-26,FE
3458,2016-07-28,FE
3467,2017-04-27,FE
3470,2017-02-21,FE
3473,2018-04-23,FE
3480,2018-07-31,FE
3489,2018-10-25,FE
3491,2021-07-22,FE
3499,2021-10-28,FE
3500,2023-02-13,FE
3505,2022-10-25,FE
3518,2023-04-27,FE
3534,2023-08-01,FE
3538,2023-10-26,FE
3540,2024-04-25,FE
3556,2024-07-30,FE
3563,2024-10-29,FE
3564,2026-02-18,FE
3565,2026-04-28,FE
3621,2010-04-28,MO
3622,2011-07-28,MO
3627,2012-10-30,MO
3628,2012-04-26,MO
3629,2012-07-26,MO
3637,2013-10-24,MO
3638,2014-02-26,MO
3639,2016-04-28,MO
3640,2016-07-27,MO
3644,2016-10-27,MO
3645,2017-10-26,MO
3646,2018-10-25,MO
3647,2019-07-30,MO
3651,2019-02-26,MO
3655,2019-10-31,MO
3656,2020-02-25,MO
3657,2020-04-30,MO
3658,2020-07-30,MO
3662,2021-02-26,MO
3663,2021-04-29,MO
3664,2022-02-25,MO
3665,2024-10-31,MO
3666,2024-02-27,MO
3678,2025-02-26,MO
3679,2025-04-29,MO
3680,2025-07-30,MO
3681,2025-10-30,MO
3682,2026-02-25,MO
3683,2026-04-30,MO
3778,2026-05-07,ED
3890,2009-07-23,BMY
3891,2009-10-22,BMY
3971,2011-07-25,HST
3990,2010-05-07,MRSH
3994,2010-08-17,MRSH
3995,2009-11-05,MRSH
3996,2011-02-28,MRSH
4006,2012-02-28,BNY
4009,2012-02-28,MRSH
4014,2014-02-27,MRSH
4015,2013-05-09,MRSH
4016,2012-08-08,MRSH
4017,2010-05-07,BNY
4018,2010-08-06,BNY
4019,2010-11-08,BNY
4020,2011-11-08,BNY
4023,2011-08-08,BNY
4024,2013-11-07,MRSH
4025,2015-02-26,MRSH
4026,2014-05-08,MRSH
4027,2014-08-04,MRSH
4028,2014-11-04,MRSH
4031,2016-02-24,MRSH
4032,2015-05-04,MRSH
4033,2015-10-29,MRSH
4034,2018-10-26,MRSH
4035,2020-05-01,MRSH
4036,2019-08-02,MRSH
4037,2012-11-08,BNY
4038,2013-02-28,BNY
4041,2019-10-30,MRSH
4042,2020-02-20,MRSH
4043,2013-05-09,BNY
4044,2013-08-08,BNY
4046,2020-07-31,MRSH
4047,2020-10-30,MRSH
4048,2021-02-17,MRSH
4049,2021-04-27,MRSH
4050,2013-11-08,BNY
4051,2014-05-09,BNY
4052,2014-08-11,BNY
4055,2014-11-07,BNY
4056,2015-02-27,BNY
4057,2015-08-07,BNY
4058,2015-11-06,BNY
4060,2021-07-22,MRSH
4061,2016-11-08,BNY
4062,2018-02-28,BNY
4064,2021-10-21,MRSH
4065,2022-02-16,MRSH
4066,2025-02-10,MRSH
4067,2017-05-08,BNY
4071,2025-10-16,MRSH
4072,2026-02-09,MRSH
4073,2017-08-03,BNY
4074,2017-11-07,BNY
4075,2019-02-27,BNY
4076,2026-04-16,MRSH
4077,2026-07-21,MRSH
4078,2018-05-08,BNY
4079,2018-08-03,BNY
4080,2018-11-06,BNY
4081,2019-05-08,BNY
4085,2020-05-07,BNY
4086,2020-08-06,BNY
4087,2020-11-05,BNY
4090,2022-02-25,BNY
4091,2021-05-06,BNY
4092,2021-08-05,BNY
4104,2022-05-06,BNY
4105,2022-08-05,BNY
4107,2022-11-07,BNY
4108,2023-05-05,BNY
4109,2023-11-03,BNY
4111,2024-05-03,BNY
4112,2024-08-02,BNY
4113,2024-11-01,BNY
4118,2025-02-27,BNY
4119,2025-05-02,BNY
4120,2025-08-01,BNY
4121,2025-10-31,BNY
4125,2026-02-25,BNY
4126,2026-05-01,BNY
4139,2011-02-24,ERIE
4140,2010-08-17,ERIE
4239,2010-05-07,BRK-B
4240,2010-08-06,BRK-B
4243,2009-11-06,BRK-B
4244,2011-02-28,BRK-B
4245,2011-05-06,BRK-B
4246,2011-08-05,BRK-B
4247,2011-11-04,BRK-B
4248,2012-02-27,BRK-B
4258,2014-03-03,BRK-B
4259,2012-05-04,BRK-B
4260,2012-08-03,BRK-B
4261,2012-11-02,BRK-B
4262,2014-05-02,BRK-B
4263,2014-08-01,BRK-B
4264,2015-03-02,BRK-B
4265,2014-11-07,BRK-B
4266,2017-02-27,BRK-B
4267,2015-05-01,BRK-B
4268,2017-05-05,BRK-B
4273,2017-08-04,BRK-B
4274,2017-11-03,BRK-B
4275,2018-02-26,BRK-B
4276,2019-02-25,BRK-B
4277,2019-05-06,BRK-B
4279,2018-08-06,BRK-B
4280,2018-11-05,BRK-B
4287,2020-05-04,BRK-B
4288,2020-08-10,BRK-B
4293,2020-11-09,BRK-B
4294,2021-03-01,BRK-B
4295,2021-05-03,BRK-B
4296,2021-08-09,BRK-B
4299,2021-11-08,BRK-B
4305,2023-05-08,BRK-B
4306,2023-08-07,BRK-B
4307,2023-11-06,BRK-B
4308,2025-02-24,BRK-B
4309,2025-08-04,BRK-B
4310,2025-11-03,BRK-B
4311,2026-03-02,BRK-B
4315,2026-05-04,BRK-B
4319,2011-03-01,BRO
4320,2010-08-04,BRO
4321,2010-11-05,BRO
4325,2012-02-29,BRO
4326,2011-05-10,BRO
4327,2011-08-09,BRO
4328,2011-11-09,BRO
4329,2012-05-10,BRO
4332,2012-08-06,BRO
4333,2012-11-09,BRO
4334,2013-03-01,BRO
4335,2013-05-09,BRO
4336,2011-02-10,EXC
4337,2013-08-02,BRO
4338,2013-11-07,BRO
4339,2014-02-28,BRO
4340,2014-08-07,BRO
4341,2014-11-06,BRO
4344,2015-05-11,BRO
4347,2015-08-07,BRO
4348,2017-08-18,BRO
4349,2016-02-26,BRO
4354,2016-05-06,BRO
4355,2016-08-05,BRO
4356,2016-11-09,BRO
4362,2018-02-28,BRO
4363,2017-05-05,BRO
4364,2017-08-04,BRO
4365,2017-11-03,BRO
4370,2019-07-30,BRO
4371,2019-05-09,BRO
4378,2019-10-30,BRO
4379,2020-02-24,BRO
4380,2020-04-29,BRO
4383,2020-07-30,BRO
4384,2020-10-27,BRO
4385,2021-02-23,BRO
4387,2021-04-27,BRO
4388,2021-07-27,BRO
4389,2021-10-26,BRO
4390,2022-05-09,BRO
4391,2022-07-26,BRO
4393,2022-11-03,BRO
4394,2023-02-27,BRO
4395,2023-04-28,BRO
4396,2023-07-27,BRO
4397,2023-10-26,BRO
4400,2024-02-22,BRO
4401,2024-04-24,BRO
4402,2024-07-22,BRO
4403,2025-02-13,BRO
4408,2025-07-28,BRO
4409,2025-10-28,BRO
4410,2026-02-12,BRO
4412,2026-04-27,BRO
4413,2009-11-06,BSX
4418,2010-02-19,MTB
4433,2012-05-15,IBKR
4434,2012-08-31,IBKR
4436,2012-11-09,IBKR
4437,2013-05-10,IBKR
4438,2013-08-09,IBKR
4439,2017-02-28,IBKR
4448,2021-03-01,IBKR
4673,2009-08-10,FITB
4677,2010-07-15,FDX
4690,2011-02-28,FITB
4691,2010-05-07,FITB
4692,2010-08-09,FITB
