,as_of,ticker
5840,2010-07-29,O
5841,2011-02-10,O
5844,2025-02-10,INCY
5845,2011-08-01,O
5846,2011-10-28,O
5864,2025-07-29,INCY
5867,2026-04-28,INCY
5948,2021-02-26,EXR
5959,2021-08-05,EXR
6079,2013-02-26,ON
6106,2010-12-21,HRL
6126,2015-03-03,CFG
6133,2013-05-02,AIG
6134,2013-08-05,AIG
6135,2013-10-31,AIG
6170,2022-05-04,CFG
6173,2025-08-07,AIG
6174,2025-11-05,AIG
6175,2026-02-12,AIG
6176,2026-05-01,AIG
6177,2009-12-22,ORCL
6178,2010-03-29,ORCL
6179,2022-08-03,CFG
6180,2022-11-04,CFG
6181,2023-02-17,CFG
6182,2010-07-01,ORCL
6183,2023-11-06,CFG
6187,2010-12-21,ORCL
6188,2011-03-29,ORCL
6189,2024-02-16,CFG
6190,2024-05-06,CFG
6191,2024-08-06,CFG
6192,2024-11-04,CFG
6196,2025-02-13,CFG
6197,2025-05-01,CFG
6202,2025-08-04,CFG
6203,2025-11-03,CFG
6204,2026-02-12,CFG
6205,2026-05-04,CFG
6222,2011-11-04,CHD
6245,2010-10-22,HUBB
6291,2022-05-06,EXR
6303,2022-08-05,EXR
6469,2011-08-02,CHTR
6471,2011-11-01,CHTR
6487,2011-02-25,IEX
6539,2022-11-04,EXR
6610,2021-05-07,CI
6614,2022-02-24,CI
6615,2022-05-06,CI
6616,2022-08-04,CI
6617,2023-02-23,CI
6618,2024-05-02,CI
6625,2024-08-01,CI
6626,2023-11-02,CI
6627,2025-05-02,CI
6632,2025-07-31,CI
6633,2025-10-30,CI
6637,2026-02-26,CI
6638,2026-04-30,CI
6755,2011-03-01,IRM
6859,2009-08-07,ITW
6860,2009-10-30,ITW
6895,2010-02-26,IVZ
6973,2009-08-05,PFG
6974,2009-11-04,PFG
6984,2012-02-15,PFG
6985,2010-05-05,PFG
6988,2010-08-04,PFG
6989,2010-11-03,PFG
6990,2012-10-31,PFG
6991,2014-02-12,PFG
6992,2013-05-01,PFG
6993,2014-04-30,PFG
6994,2017-05-03,PFG
7002,2018-02-09,PFG
7003,2018-05-02,PFG
7013,2018-08-01,PFG
7018,2020-04-29,PFG
7019,2020-07-29,PFG
7020,2020-10-29,PFG
7021,2021-10-28,PFG
7025,2009-11-17,JCI
7026,2022-02-11,PFG
7029,2022-05-04,PFG
7030,2022-08-09,PFG
7031,2022-11-02,PFG
7032,2023-02-16,PFG
7033,2023-05-03,PFG
7034,2023-08-02,PFG
7035,2023-11-01,PFG
7036,2024-02-20,PFG
7044,2024-05-01,PFG
7045,2024-10-30,PFG
7046,2025-02-19,PFG
7049,2025-04-30,PFG
7050,2025-10-29,PFG
7051,2026-02-18,PFG
7426,2020-07-28,PLD
7427,2020-10-28,PLD
7428,2022-02-09,PLD
7436,2023-05-01,PLD
7437,2023-07-26,PLD
7438,2023-10-27,PLD
7439,2024-02-13,PLD
7440,2025-02-14,PLD
7441,2025-04-29,PLD
7557,2010-05-07,PNC
7558,2010-11-09,PNC
7559,2012-02-29,PNC
7567,2012-05-09,PNC
7568,2012-08-08,PNC
7569,2013-05-09,PNC
7570,2012-11-08,PNC
7574,2014-03-03,PNC
7575,2013-08-08,PNC
7576,2013-11-06,PNC
7581,2014-05-08,PNC
7582,2014-08-07,PNC
7583,2014-11-05,PNC
7594,2015-03-02,PNC
7595,2015-05-07,PNC
7596,2015-08-05,PNC
7600,2016-05-04,PNC
7601,2018-11-01,PNC
7602,2019-03-01,PNC
7603,2019-08-01,PNC
7604,2019-11-04,PNC
7608,2019-05-03,PNC
7617,2021-02-26,PNC
7626,2009-08-20,NVDA
7629,2021-08-06,PNC
7630,2021-11-03,PNC
7631,2022-02-25,PNC
7632,2022-05-04,PNC
7633,2023-05-02,PNC
7634,2023-08-02,PNC
7638,2025-08-01,PNC
7639,2025-11-03,PNC
7640,2026-02-20,PNC
7641,2026-05-05,PNC
7826,2025-07-30,PFG
7945,2009-08-07,PRU
7946,2009-11-06,PRU
7947,2010-05-07,PRU
7948,2011-08-05,PRU
7951,2011-11-04,PRU
7952,2012-02-24,PRU
7953,2012-05-04,PRU
7954,2012-08-03,PRU
7955,2013-02-22,PRU
7956,2013-05-03,PRU
7965,2014-02-27,PRU
7970,2014-11-06,PRU
7971,2016-02-19,PRU
7972,2015-05-07,PRU
7981,2018-05-04,PRU
7982,2018-08-03,PRU
7989,2018-11-08,PRU
7990,2019-02-15,PRU
7991,2019-05-03,PRU
7992,2019-08-02,PRU
7993,2019-11-05,PRU
7994,2020-08-06,PRU
7997,2021-08-05,PRU
7998,2021-11-04,PRU
7999,2022-02-17,PRU
8000,2023-08-03,PRU
8001,2023-11-02,PRU
8002,2024-08-02,PRU
8006,2025-02-13,PRU
8007,2025-07-31,PRU
8008,2025-10-30,PRU
8011,2026-02-12,PRU
8034,2024-05-02,COIN
8035,2024-08-01,COIN
8040,2025-07-31,COIN
8041,2025-10-30,COIN
8043,2026-02-12,COIN
8044,2026-05-07,COIN
8053,2012-02-29,LYB
8089,2024-02-20,PSA
8090,2024-04-30,PSA
8091,2025-07-30,PSA
8096,2026-02-25,PSKY
8097,2012-05-16,PSX
8100,2012-08-03,PSX
8101,2012-11-01,PSX
8102,2013-05-02,PSX
