,as_of,ticker
5957,2019-10-31,FTNT
5960,2020-05-07,FTNT
5964,2021-05-03,FTNT
5983,2023-02-16,CEG
5984,2022-05-12,CEG
5985,2022-08-04,CEG
5990,2022-11-08,CEG
6012,2010-02-25,CF
6019,2009-08-03,CF
6020,2009-11-02,CF
6023,2009-10-26,OMC
6024,2010-11-05,CF
6025,2010-05-07,CF
6077,2010-08-05,ON
6078,2010-11-04,ON
6106,2010-12-21,HRL
6126,2015-03-03,CFG
6127,2014-11-14,CFG
6151,2009-08-04,MO
6165,2009-07-23,NOC
6177,2009-12-22,ORCL
6178,2010-03-29,ORCL
6182,2010-07-01,ORCL
6184,2010-03-01,INTU
6185,2010-05-28,INTU
6187,2010-12-21,ORCL
6188,2011-03-29,ORCL
6194,2011-06-28,ORCL
6195,2011-09-23,ORCL
6200,2011-12-23,ORCL
6209,2010-08-09,CHD
6210,2010-11-09,CHD
6242,2010-08-05,ORLY
6245,2010-10-22,HUBB
6246,2010-11-08,ORLY
6254,2010-02-19,GD
6255,2009-08-04,GD
6264,2009-11-03,GD
6313,2009-11-12,HSY
6321,2009-10-30,NSC
6335,2009-11-09,CHRW
6336,2009-08-10,CHRW
6339,2010-03-01,CHRW
6340,2010-05-10,CHRW
6341,2010-08-09,CHRW
6344,2010-11-09,CHRW
6345,2011-03-01,CHRW
6346,2012-05-10,CHRW
6347,2012-08-09,CHRW
6351,2012-11-08,CHRW
6383,2017-08-10,INVH
6384,2017-11-09,INVH
6391,2018-03-29,INVH
6392,2017-05-12,INVH
6395,2018-08-10,INVH
6396,2018-11-05,INVH
6442,2010-07-23,IDXX
6487,2011-02-25,IEX
6500,2009-08-11,NUE
6508,2024-11-21,PANW
6509,2025-02-14,PANW
6514,2025-05-21,PANW
6518,2025-08-29,PANW
6519,2025-11-20,PANW
6520,2026-02-18,PANW
6521,2026-06-03,PANW
6522,2009-09-23,PAYX
6531,2010-03-24,PAYX
6532,2010-07-16,PAYX
6533,2012-03-28,PAYX
6534,2012-07-20,PAYX
6535,2013-09-30,PAYX
6547,2014-09-24,PAYX
6548,2014-12-19,PAYX
6596,2010-05-05,PCAR
6597,2010-11-08,PCAR
6598,2011-03-01,PCAR
6599,2011-05-06,PCAR
6600,2010-08-06,PCAR
6604,2011-11-07,PCAR
6621,2013-02-27,PCAR
6622,2012-05-10,PCAR
6623,2012-08-08,PCAR
6624,2012-11-07,PCAR
6628,2014-11-06,PCAR
6629,2016-02-16,PCAR
6630,2015-11-05,PCAR
6631,2016-05-04,PCAR
6635,2019-02-21,PCAR
6639,2010-12-22,CIEN
6645,2022-05-03,PCAR
6646,2022-08-02,PCAR
6647,2022-10-28,PCAR
6648,2023-08-02,PCAR
6649,2023-11-02,PCAR
6650,2024-02-21,PCAR
6651,2010-09-08,CIEN
6652,2011-12-22,CIEN
6653,2011-03-10,CIEN
6655,2011-06-09,CIEN
6656,2011-09-08,CIEN
6658,2025-02-19,PCAR
6659,2025-05-01,PCAR
6660,2026-02-18,PCAR
6661,2026-04-29,PCAR
6663,2012-03-08,CIEN
6667,2012-06-06,CIEN
6668,2012-12-21,CIEN
6669,2013-03-13,CIEN
6670,2013-06-12,CIEN
6671,2013-09-11,CIEN
6675,2024-08-06,NVR
6719,2019-09-11,CIEN
6735,2020-09-09,CIEN
6755,2011-03-01,IRM
6796,2013-05-14,IQV
6797,2013-08-01,IQV
6859,2009-08-07,ITW
6860,2009-10-30,ITW
6895,2010-02-26,IVZ
6899,2009-08-06,PFE
6980,2009-11-03,CLX
6981,2010-02-05,CLX
6982,2010-05-04,CLX
7015,2018-02-16,IR
7016,2017-08-04,IR
7017,2017-10-27,IR
7025,2009-11-17,JCI
7107,2009-08-06,CMCSA
7108,2009-11-04,CMCSA
7133,2009-11-04,GEN
7134,2010-02-05,GEN
7135,2010-05-24,GEN
7136,2009-08-05,GEN
7140,2010-08-04,GEN
7141,2010-11-03,GEN
7163,2011-02-02,GEN
7167,2009-11-03,PH
7168,2010-02-04,PH
7169,2010-05-05,PH
7189,2023-05-04,EXR
7221,2010-02-26,CME
7222,2009-09-04,CME
7225,2012-02-09,PHM
7226,2012-04-26,PHM
7227,2009-11-06,CME
7228,2011-02-28,CME
7229,2010-05-07,CME
7230,2011-08-01,PHM
7231,2011-10-28,PHM
